Organisation,SctrCluster,3RP,P_CODE,P_CODE_DIS
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Danish Refugee Council,Protection,No,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Save the Children ,Protection,Yes,TR31,TR3102080
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Save the Children ,Protection,Yes,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Save the Children ,Protection,Yes,TR31,TR3102080
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
Save the Children ,Protection,Yes,TR31,TR3102080
ASAM,Protection,Yes,TR44,TR4401772
Save the Children ,Protection,Yes,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
Save the Children ,Protection,Yes,TR31,TR3102080
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Save the Children ,Protection,Yes,TR31,TR3102080
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
GOAL ,Protection,No,TR79,TR7901476
ASAM,Protection,Yes,TR44,TR4401772
GOAL ,Protection,No,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
GOAL ,Protection,No,TR79,TR7901476
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
IMC,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
IMC,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
IMC,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701844
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR46,TR4602084
ASAM,Protection,Yes,TR44,TR4401772
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR63,TR6302092
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR01,TR0101104
ASAM,Protection,Yes,TR27,TR2701844
ASAM,Protection,Yes,TR27,TR2701841
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
CARE International,Protection,No,TR63,TR6301194
CARE International,Protection,No,TR63,TR6301378
CARE International,Protection,No,TR63,TR6301194
CARE International,Protection,No,TR63,TR6301378
CARE International,Protection,No,TR63,TR6301194
CARE International,Protection,No,TR63,TR6301378
CARE International,Protection,No,TR63,TR6301194
CARE International,Protection,No,TR63,TR6301378
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Turkish Red Crescent Kilis Community Center,Protection,Yes,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
Danish Refugee Council,Protection,No,TR79,TR7901476
IMC,Protection,Yes,TR31,TR3102080
IMC,Protection,Yes,TR27,TR2701841
IMC,Protection,Yes,TR31,TR3101468
IMC,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR27,TR2701841
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR31,TR3102080
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
